35	13	6	1	Q1	B	85.86	7	2025-11-02 03:59:49.057032	2025-11-02 03:59:49.060691
36	14	1	1	Q1	C+	78.33	6	2025-11-02 03:59:49.068695	2025-11-02 03:59:49.07264
37	14	2	1	Q1	C+	78.57	3	2025-11-02 03:59:49.080461	2025-11-02 03:59:49.084497
38	14	11	1	Q1	C	74.14	7	2025-11-02 03:59:49.228287	2025-11-02 03:59:49.232051
39	14	6	1	Q1	A	99.29	7	2025-11-02 03:59:49.239207	2025-11-02 03:59:49.242667
40	15	1	1	Q1	C-	72.5	6	2025-11-02 03:59:49.250516	2025-11-02 03:59:49.254747
41	15	2	1	Q1	C	75.23	3	2025-11-02 03:59:49.263949	2025-11-02 03:59:49.267947
42	15	11	1	Q1	C	75.01	7	2025-11-02 03:59:49.330569	2025-11-02 03:59:49.334848
43	15	6	1	Q1	A	97.86	7	2025-11-02 03:59:49.343258	2025-11-02 03:59:49.347351
47	17	10	1	Q1	D	69.29	7	2025-11-02 03:59:49.458284	2025-11-02 03:59:49.462044
48	17	12	1	Q1	A	100	1	2025-11-02 03:59:49.525048	2025-11-02 03:59:49.528501
49	17	6	1	Q1	A	95	7	2025-11-02 03:59:49.536032	2025-11-02 03:59:49.539941
59	18	10	1	Q1	F	42	7	2025-11-02 03:59:49.944263	2025-11-02 03:59:49.949416
60	18	12	1	Q1	A	100	1	2025-11-02 03:59:49.958813	2025-11-02 03:59:49.968443
61	18	6	1	Q1	B+	89.29	7	2025-11-02 03:59:49.981471	2025-11-02 03:59:49.987947
66	24	10	1	Q1	F	45	7	2025-11-02 03:59:50.133174	2025-11-02 03:59:50.136471
67	24	12	1	Q1	A	100	1	2025-11-02 03:59:50.143595	2025-11-02 03:59:50.147395
68	24	6	1	Q1	A	95.86	7	2025-11-02 03:59:50.1548	2025-11-02 03:59:50.158763
69	24	2	1	Q1	F	0	3	2025-11-02 03:59:50.172187	2025-11-02 03:59:50.175862
70	25	10	1	Q1	F	25	7	2025-11-02 03:59:50.2388	2025-11-02 03:59:50.24306
71	25	12	1	Q1	A	99.8	1	2025-11-02 03:59:50.251626	2025-11-02 03:59:50.255743
72	25	6	1	Q1	B+	89.29	7	2025-11-02 03:59:50.263801	2025-11-02 03:59:50.2684
17	6	10	1	Q1	C	75.71	7	2025-11-02 19:59:37.066172	2025-11-02 03:59:48.460766
18	6	12	1	Q1	A	100	1	2025-11-02 19:59:37.098051	2025-11-02 03:59:48.525059
19	6	6	1	Q1	B+	87.14	7	2025-11-02 19:59:37.139733	2025-11-02 03:59:48.536236
45	16	12	1	Q1	A	100	1	2025-11-13 13:57:48.499093	2025-11-02 03:59:49.375918
46	16	6	1	Q1	A	96.43	7	2025-11-13 13:57:48.896349	2025-11-02 03:59:49.42689
50	22	10	1	Q1	F	27.71	7	2025-11-02 19:59:37.464792	2025-11-02 03:59:49.567517
51	22	12	1	Q1	A	100	1	2025-11-02 19:59:37.517078	2025-11-02 03:59:49.628689
52	22	6	1	Q1	B	83.57	7	2025-11-02 19:59:37.542687	2025-11-02 03:59:49.639481
53	23	10	1	Q1	F	62.86	7	2025-11-02 19:59:37.663145	2025-11-02 03:59:49.661843
54	23	12	1	Q1	A	100	1	2025-11-02 19:59:37.694753	2025-11-02 03:59:49.67875
55	23	6	1	Q1	B	84.29	7	2025-11-02 19:59:37.742412	2025-11-02 03:59:49.730825
56	21	10	1	Q1	F	0	7	2025-11-02 19:59:37.916889	2025-11-02 03:59:49.76378
57	21	12	1	Q1	A	100	1	2025-11-02 19:59:37.943454	2025-11-02 03:59:49.776556
58	21	6	1	Q1	C	76.43	7	2025-11-02 19:59:37.971614	2025-11-02 03:59:49.828092
62	19	10	1	Q1	F	35.43	7	2025-11-02 19:59:38.142424	2025-11-02 03:59:50.048757
63	19	12	1	Q1	A	100	1	2025-11-02 19:59:38.170564	2025-11-02 03:59:50.059558
64	19	6	1	Q1	B	86.43	7	2025-11-02 19:59:38.194529	2025-11-02 03:59:50.070776
65	19	2	1	Q1	F	0	3	2025-11-02 19:59:38.237873	2025-11-02 03:59:50.081791
73	7	1	1	1	F	30.6	5	2025-11-05 13:20:16.601305	2025-11-05 13:20:16.609053
84	25	10	1	1	F	0	1	2025-11-07 20:17:19.676379	2025-11-07 16:49:57.958187
76	1	1	1	1	F	0	1	2025-11-07 20:14:31.353499	2025-11-07 16:47:08.701073
81	12	1	1	1	A	100	1	2025-11-07 20:14:31.37989	2025-11-07 16:47:08.799136
83	21	10	1	1	F	0	1	2025-11-07 20:17:19.668774	2025-11-07 16:49:57.952264
44	16	10	1	Q1	A	96.86	7	2025-11-13 13:57:48.414757	2025-11-02 03:59:49.361386
82	22	10	1	1	F	0	1	2025-11-07 20:17:19.661715	2025-11-07 16:49:57.944601
77	2	1	1	1	A	100	1	2025-11-07 20:14:31.358821	2025-11-07 16:47:08.708969
78	4	1	1	1	F	0	1	2025-11-07 20:14:31.364636	2025-11-07 16:47:08.714248
85	1	11	1	1	F	40.71	7	2025-11-07 20:12:52.317568	2025-11-07 20:12:52.321596
86	2	11	1	1	C+	78.43	7	2025-11-07 20:12:52.324784	2025-11-07 20:12:52.329035
79	5	1	1	1	A	100	1	2025-11-07 20:14:31.369765	2025-11-07 16:47:08.720393
80	11	1	1	1	A	100	1	2025-11-07 20:14:31.374764	2025-11-07 16:47:08.725858
87	4	11	1	1	B-	82.71	7	2025-11-07 20:12:52.331976	2025-11-07 20:12:52.335677
88	5	11	1	1	A	99.57	7	2025-11-07 20:12:52.338555	2025-11-07 20:12:52.342012
89	11	11	1	1	B+	87.57	7	2025-11-07 20:12:52.345014	2025-11-07 20:12:52.349628
90	12	11	1	1	F	55.01	7	2025-11-07 20:12:52.352535	2025-11-07 20:12:52.395298
\.


